Title,Camera
Alton Mental Health Center,Yes
Ann Kiley Developmental Center,Yes
Chester Mental Health Center,Yes
Chicago-Read Mental Health Center,No
Choate Mental Health and Developmental Center,Yes
Elgin Mental Health Center,Yes
Fox Developmental Center,Yes
Ludeman Developmental Center,No
Jack Mabley Developmental Center,Yes
Madden Mental Health Center,Yes
Murray Developmental Center,Yes
Packard Mental Health Center,Yes
Rushville Treatment and Detention Facility,Yes
Shapiro Developmental Center,No
